catalog|product_sla|auto_withdraw_minutes|integer|N|300|
catalog|product_sla|min_bids_required|integer|N|1|
catalog|product_sla|max_bids_allowed|integer|Y||
catalog|regulator|code|text|N||PK
catalog|regulator|name|text|N||
catalog|regulator|country|text|N||
catalog|regulator|website|text|Y||
catalog|regulator|created_at|timestamptz|N|now()|
institution|api_key|id|uuid|N|gen_random_uuid()|PK
institution|api_key|institution_id|uuid|N||FK institution.institution
institution|api_key|label|text|N||
institution|api_key|key_hmac|text|N||
institution|api_key|key_prefix|text|N|''|
institution|api_key|key_hash|text|N|''|
institution|api_key|scopes|text[]|N|'{}'|
institution|api_key|active|boolean|N|false|
institution|api_key|mc_status|text|N|'pending_approval'|
institution|api_key|created_by|uuid|Y||
institution|api_key|requested_by|uuid|Y||
institution|api_key|approved_by|uuid|Y||
institution|api_key|approved_at|timestamptz|Y||
institution|api_key|rejection_note|text|Y||
institution|api_key|last_used_at|timestamptz|Y||
institution|api_key|last_used_ip|inet|Y||
institution|api_key|expires_at|timestamptz|Y||
institution|api_key|revoked_at|timestamptz|Y||
institution|api_key|revoked_by|uuid|Y||FK institution.member
institution|api_key|created_at|timestamptz|N|now()|
institution|approval_action|id|uuid|N|gen_random_uuid()|PK
institution|approval_action|stage_instance_id|uuid|N||FK institution.approval_stage_instance
institution|approval_action|actor_id|uuid|N||
institution|approval_action|acting_as|uuid|Y||delegation source
institution|approval_action|action|text|N||approve/reject/abstain
institution|approval_action|comment|text|Y||
institution|approval_action|checklist_state|jsonb|Y||
institution|approval_action|created_at|timestamptz|N|now()|
institution|approval_committee|id|uuid|N|gen_random_uuid()|PK
institution|approval_committee|institution_id|uuid|N||
institution|approval_committee|name|text|N||
institution|approval_committee|description|text|Y||
institution|approval_committee|quorum_type|text|N||
institution|approval_committee|quorum_value|numeric|Y||
institution|approval_committee|tie_break|text|N|'chair'|
institution|approval_committee|allow_abstain|boolean|N|true|
institution|approval_committee|status|text|N|'active'|
institution|approval_committee|created_by|uuid|N||
institution|approval_committee|created_at|timestamptz|N|now()|
institution|approval_delegation|id|uuid|N|gen_random_uuid()|PK
institution|approval_delegation|institution_id|uuid|N||
institution|approval_delegation|from_member|uuid|N||
institution|approval_delegation|to_member|uuid|N||
institution|approval_delegation|scope|text|N|'all'|
institution|approval_delegation|reason|text|N||
institution|approval_delegation|valid_from|timestamptz|N||
institution|approval_delegation|valid_to|timestamptz|N||
institution|approval_delegation|approved_by|uuid|N||
institution|approval_delegation|created_at|timestamptz|N|now()|
institution|approval_instance|id|uuid|N|gen_random_uuid()|PK
institution|approval_instance|institution_id|uuid|N||
institution|approval_instance|template_id|uuid|N||FK institution.approval_template
institution|approval_instance|template_version|integer|N||frozen at route time
institution|approval_instance|doa_rule_id|uuid|N||FK institution.doa_rule
institution|approval_instance|entity_type|text|N||
institution|approval_instance|entity_id|uuid|N||
institution|approval_instance|entity_maker_id|uuid|N||maker-checker exclusion
institution|approval_instance|entity_snapshot|jsonb|N||
institution|approval_instance|current_seq|integer|N|1|
institution|approval_instance|status|text|N|'in_progress'|
institution|approval_instance|withdraw_reason|text|Y||
institution|approval_instance|started_at|timestamptz|N|now()|
institution|approval_instance|resolved_at|timestamptz|Y||
institution|approval_outbox|id|bigint|N|nextval|PK
institution|approval_outbox|institution_id|uuid|N||
institution|approval_outbox|event|text|N||
institution|approval_outbox|payload|jsonb|N||
institution|approval_outbox|created_at|timestamptz|N|now()|
institution|approval_outbox|processed_at|timestamptz|Y||
institution|approval_stage_def|id|uuid|N|gen_random_uuid()|PK
institution|approval_stage_def|template_id|uuid|N||FK institution.approval_template
institution|approval_stage_def|seq|integer|N||
institution|approval_stage_def|name|text|N||
institution|approval_stage_def|stage_type|text|N||role / committee
institution|approval_stage_def|committee_id|uuid|Y||FK institution.approval_committee
institution|approval_stage_def|approver_role|text|Y||
institution|approval_stage_def|checklist|jsonb|Y||
institution|approval_stage_def|sla_hours|integer|Y||
institution|approval_stage_def|on_sla_breach|text|N|'notify'|notify / escalate
institution|approval_stage_def|escalate_to_template_id|uuid|Y||FK institution.approval_template
institution|approval_stage_def|config|jsonb|N|'{}'|
institution|approval_stage_instance|id|uuid|N|gen_random_uuid()|PK
institution|approval_stage_instance|instance_id|uuid|N||FK institution.approval_instance
institution|approval_stage_instance|seq|integer|N||
institution|approval_stage_instance|stage_def_id|uuid|N||FK institution.approval_stage_def
institution|approval_stage_instance|status|text|N|'pending'|
institution|approval_stage_instance|started_at|timestamptz|Y||
institution|approval_stage_instance|due_at|timestamptz|Y||
institution|approval_stage_instance|resolved_at|timestamptz|Y||
institution|approval_template|id|uuid|N|gen_random_uuid()|PK
institution|approval_template|institution_id|uuid|N||
institution|approval_template|name|text|N||
institution|approval_template|entity_type|text|N||
institution|approval_template|version|integer|N|1|
institution|approval_template|status|text|N|'draft'|draft / active
institution|approval_template|created_by|uuid|N||
institution|approval_template|approved_by|uuid|Y||
institution|approval_template|created_at|timestamptz|N|now()|
institution|benefit|id|uuid|N|gen_random_uuid()|PK
institution|benefit|institution_id|uuid|N||FK institution.institution
institution|benefit|product_id|uuid|Y||FK catalog.product
institution|benefit|cat_id|uuid|N||FK institution.benefit_cat
